"";"Gender";"Ever_Married";"Age";"Graduated";"Profession";"Work_Experience";"Spending_Score";"Family_Size";"Var_1";"Segmentation"
"5640";"Female";"No";32;"No";"Marketing";11;"Low";6;"Cat_6";"D"
"5643";"Male";"No";28;"Yes";"Healthcare";0;"Low";5;"Cat_6";"D"
"5644";"Male";"Yes";42;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"5646";"Female";"No";26;"No";"Marketing";0;"Low";4;"Cat_4";"D"
"5648";"Female";"No";30;"No";"Engineer";1;"Low";3;"Cat_4";"A"
"5649";"Female";"Yes";30;"Yes";"Homemaker";9;"Low";2;"Cat_6";"B"
"5650";"Female";"No";19;"No";"Marketing";1;"Low";4;"Cat_6";"D"
"5651";"Male";"Yes";31;"Yes";"Artist";8;"Average";2;"Cat_6";"C"
"5652";"Male";"Yes";88;"Yes";"Lawyer";0;"High";2;"Cat_6";"A"
"5653";"Male";"Yes";40;"Yes";"Artist";0;"Low";3;"Cat_1";"A"
"5654";"Female";"No";21;"No";"Healthcare";8;"Low";2;"Cat_6";"D"
"5655";"Male";"No";38;"Yes";"Artist";1;"Low";1;"Cat_3";"B"
"5656";"Female";"No";36;"Yes";"Homemaker";6;"Low";1;"Cat_3";"B"
"5657";"Male";"Yes";47;"No";"Entertainment";1;"Low";1;"Cat_6";"A"
"5658";"Female";"No";30;"Yes";"Entertainment";1;"Low";4;"Cat_4";"A"
"5659";"Female";"No";35;"Yes";"Healthcare";9;"Low";2;"Cat_2";"D"
"5660";"Male";"Yes";58;"Yes";"Artist";1;"Average";3;"Cat_6";"B"
"5661";"Female";"Yes";52;"Yes";"Engineer";0;"High";5;"Cat_6";"B"
"5662";"Male";"Yes";46;"Yes";"Artist";0;"High";4;"Cat_3";"B"
"5664";"Female";"Yes";45;"Yes";"Artist";0;"Average";5;"Cat_4";"C"
"5666";"Male";"Yes";35;"Yes";"Artist";12;"Average";2;"Cat_6";"A"
"5667";"Male";"Yes";71;"Yes";"Lawyer";0;"Average";2;"Cat_6";"C"
"5668";"Male";"Yes";36;"Yes";"Artist";0;"Average";5;"Cat_6";"C"
"5669";"Female";"No";53;"Yes";"Engineer";0;"Low";1;"Cat_6";"D"
"5670";"Male";"No";53;"No";"Engineer";1;"Low";3;"Cat_4";"A"
"5671";"Male";"No";31;"Yes";"Artist";9;"Low";1;"Cat_6";"A"
"5673";"Female";"Yes";66;"Yes";"Engineer";0;"Low";2;"Cat_6";"B"
"5674";"Male";"Yes";37;"Yes";"Artist";8;"Low";2;"Cat_6";"B"
"5675";"Female";"Yes";47;"Yes";"Artist";0;"High";5;"Cat_6";"C"
"5676";"Female";"Yes";66;"Yes";"Lawyer";1;"High";3;"Cat_6";"C"
"5677";"Female";"No";25;"No";"Healthcare";1;"Low";3;"Cat_6";"B"
"5679";"Female";"No";30;"Yes";"Engineer";9;"Low";5;"Cat_6";"D"
"5680";"Female";"Yes";45;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"5681";"Female";"No";33;"No";"Doctor";1;"Low";8;"Cat_4";"C"
"5682";"Male";"Yes";37;"Yes";"Artist";0;"Average";3;"Cat_3";"B"
"5683";"Male";"Yes";35;"Yes";"Engineer";5;"Average";4;"Cat_6";"B"
"5685";"Male";"Yes";50;"Yes";"Artist";13;"Low";1;"Cat_6";"C"
"5687";"Male";"Yes";56;"Yes";"Artist";4;"Low";3;"Cat_3";"B"
"5688";"Female";"No";20;"No";"Healthcare";8;"Low";3;"Cat_3";"D"
"5689";"Male";"Yes";59;"No";"Executive";1;"High";2;"Cat_6";"C"
"5690";"Male";"No";21;"No";"Healthcare";0;"Low";4;"Cat_6";"D"
"5691";"Male";"Yes";37;"Yes";"Entertainment";1;"Average";3;"Cat_4";"C"
"5692";"Female";"Yes";68;"Yes";"Artist";1;"Low";1;"Cat_4";"B"
"5693";"Male";"Yes";33;"No";"Executive";9;"High";2;"Cat_6";"D"
"5694";"Female";"No";26;"No";"Homemaker";9;"Low";2;"Cat_6";"A"
"5695";"Female";"No";43;"No";"Marketing";0;"Low";2;"Cat_4";"D"
"5697";"Male";"No";37;"Yes";"Artist";8;"Low";1;"Cat_3";"A"
"5699";"Male";"Yes";57;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"5700";"Male";"Yes";35;"No";"Artist";1;"Average";3;"Cat_4";"A"
"5701";"Male";"No";33;"No";"Entertainment";8;"Low";1;"Cat_6";"A"
"5703";"Male";"Yes";60;"Yes";"Artist";1;"Low";1;"Cat_3";"A"
"5704";"Male";"Yes";52;"Yes";"Artist";0;"Low";2;"Cat_6";"B"
"5707";"Male";"No";35;"Yes";"Entertainment";0;"Low";3;"Cat_7";"D"
"5708";"Male";"No";18;"No";"Doctor";0;"Low";6;"Cat_4";"D"
"5709";"Female";"Yes";77;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"5710";"Male";"No";18;"No";"Healthcare";0;"Low";5;"Cat_3";"D"
"5711";"Male";"No";18;"No";"Healthcare";0;"Low";3;"Cat_6";"D"
"5712";"Female";"No";25;"No";"Healthcare";0;"Low";5;"Cat_2";"C"
"5713";"Male";"Yes";49;"Yes";"Entertainment";0;"Low";1;"Cat_6";"A"
"5714";"Female";"No";37;"Yes";"Marketing";0;"Low";1;"Cat_4";"D"
"5715";"Male";"Yes";49;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"5716";"Male";"Yes";26;"Yes";"Entertainment";1;"Average";2;"Cat_6";"B"
"5717";"Male";"No";45;"Yes";"Entertainment";0;"Low";1;"Cat_6";"A"
"5718";"Female";"No";42;"Yes";"Artist";0;"Low";1;"Cat_4";"A"
"5719";"Male";"Yes";48;"No";"Marketing";0;"Low";5;"Cat_6";"D"
"5720";"Male";"No";23;"No";"Healthcare";1;"Low";4;"Cat_6";"D"
"5721";"Female";"Yes";52;"Yes";"Engineer";4;"High";2;"Cat_4";"B"
"5722";"Male";"Yes";81;"Yes";"Entertainment";1;"Low";1;"Cat_6";"D"
"5723";"Male";"Yes";60;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"5724";"Male";"Yes";57;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"5725";"Female";"No";21;"No";"Entertainment";1;"Low";4;"Cat_6";"C"
"5726";"Female";"No";43;"Yes";"Engineer";0;"Low";4;"Cat_6";"D"
"5727";"Male";"Yes";32;"Yes";"Entertainment";0;"Average";3;"Cat_6";"A"
"5728";"Male";"Yes";50;"Yes";"Artist";0;"Average";2;"Cat_6";"B"
"5729";"Male";"No";25;"No";"Entertainment";13;"Low";3;"Cat_6";"A"
"5730";"Male";"No";25;"No";"Healthcare";1;"Low";4;"Cat_2";"C"
"5731";"Male";"Yes";56;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"5732";"Female";"No";36;"Yes";"Artist";9;"Low";2;"Cat_6";"C"
"5733";"Female";"No";46;"Yes";"Engineer";0;"Low";1;"Cat_6";"D"
"5738";"Male";"No";53;"Yes";"Artist";2;"Low";2;"Cat_2";"B"
"5739";"Female";"Yes";41;"Yes";"Artist";1;"Low";2;"Cat_6";"A"
"5740";"Male";"Yes";53;"Yes";"Doctor";0;"Average";2;"Cat_6";"C"
"5741";"Female";"Yes";79;"No";"Engineer";0;"High";2;"Cat_4";"A"
"5742";"Female";"No";33;"No";"Engineer";1;"Low";3;"Cat_6";"D"
"5743";"Female";"No";23;"No";"Healthcare";1;"Low";4;"Cat_3";"D"
"5744";"Male";"Yes";72;"Yes";"Lawyer";1;"High";2;"Cat_6";"A"
"5746";"Male";"Yes";35;"Yes";"Doctor";9;"High";3;"Cat_6";"A"
"5748";"Female";"No";28;"Yes";"Doctor";1;"Low";3;"Cat_3";"C"
"5749";"Male";"Yes";36;"No";"Healthcare";1;"Low";2;"Cat_3";"A"
"5750";"Male";"No";38;"Yes";"Artist";0;"Low";1;"Cat_3";"B"
"5751";"Female";"Yes";43;"Yes";"Artist";4;"High";3;"Cat_6";"C"
"5752";"Male";"Yes";47;"No";"Executive";0;"High";4;"Cat_6";"B"
"5753";"Male";"No";22;"No";"Marketing";1;"Low";3;"Cat_6";"A"
"5754";"Male";"Yes";82;"No";"Executive";1;"High";4;"Cat_4";"A"
"5756";"Male";"Yes";87;"Yes";"Lawyer";0;"High";2;"Cat_6";"A"
"5757";"Male";"Yes";47;"Yes";"Artist";1;"Low";2;"Cat_3";"B"
"5758";"Female";"No";33;"Yes";"Artist";3;"Low";2;"Cat_4";"D"
"5759";"Male";"Yes";68;"No";"Executive";1;"High";2;"Cat_6";"A"
"5761";"Male";"Yes";45;"Yes";"Executive";8;"High";4;"Cat_6";"C"
"5762";"Male";"Yes";49;"Yes";"Artist";0;"Average";3;"Cat_6";"C"
"5763";"Male";"No";18;"No";"Healthcare";0;"Low";8;"Cat_6";"D"
"5764";"Female";"No";45;"Yes";"Doctor";0;"Low";1;"Cat_6";"A"
"5765";"Male";"Yes";62;"Yes";"Doctor";5;"Low";1;"Cat_3";"B"
"5766";"Female";"Yes";75;"Yes";"Lawyer";0;"Low";1;"Cat_6";"B"
"5767";"Female";"Yes";59;"Yes";"Homemaker";0;"Average";4;"Cat_6";"B"
"5768";"Female";"Yes";39;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"5769";"Male";"Yes";39;"No";"Entertainment";1;"Average";5;"Cat_4";"B"
"5770";"Male";"Yes";68;"No";"Executive";1;"High";2;"Cat_4";"D"
"5772";"Male";"Yes";50;"Yes";"Executive";0;"High";4;"Cat_6";"B"
"5773";"Male";"Yes";47;"Yes";"Executive";8;"High";4;"Cat_6";"C"
"5776";"Male";"Yes";51;"Yes";"Artist";1;"Low";2;"Cat_6";"C"
"5777";"Female";"No";41;"Yes";"Doctor";0;"Low";1;"Cat_4";"A"
"5778";"Male";"Yes";45;"Yes";"Executive";1;"High";4;"Cat_6";"A"
"5779";"Male";"Yes";40;"No";"Doctor";1;"Average";5;"Cat_4";"A"
"5780";"Female";"Yes";27;"No";"Artist";6;"High";5;"Cat_2";"A"
"5782";"Male";"Yes";73;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"5783";"Male";"Yes";43;"Yes";"Engineer";0;"Average";2;"Cat_6";"B"
"5785";"Male";"Yes";55;"Yes";"Artist";0;"High";2;"Cat_3";"A"
"5786";"Male";"Yes";41;"No";"Doctor";1;"Average";2;"Cat_4";"A"
"5787";"Male";"No";25;"Yes";"Entertainment";1;"Low";2;"Cat_3";"B"
"5788";"Female";"Yes";62;"No";"Engineer";4;"Low";1;"Cat_4";"B"
"5789";"Female";"Yes";37;"No";"Engineer";0;"Low";2;"Cat_6";"A"
"5791";"Male";"Yes";69;"No";"Lawyer";0;"Low";1;"Cat_6";"D"
"5792";"Female";"Yes";89;"Yes";"Entertainment";6;"Average";4;"Cat_2";"A"
"5794";"Male";"No";28;"No";"Entertainment";0;"Low";3;"Cat_6";"A"
"5796";"Female";"No";38;"Yes";"Artist";7;"Low";2;"Cat_6";"B"
"5797";"Male";"No";18;"No";"Healthcare";3;"Low";4;"Cat_6";"D"
"5798";"Male";"Yes";81;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"5799";"Male";"Yes";45;"Yes";"Executive";2;"Average";4;"Cat_2";"B"
"5800";"Male";"Yes";42;"No";"Executive";1;"High";5;"Cat_6";"C"
"5801";"Male";"No";36;"No";"Marketing";0;"Low";1;"Cat_6";"D"
"5802";"Male";"Yes";30;"Yes";"Entertainment";0;"Low";2;"Cat_6";"A"
"5803";"Female";"No";33;"Yes";"Healthcare";0;"Low";3;"Cat_6";"D"
"5804";"Male";"Yes";37;"No";"Artist";0;"Average";2;"Cat_6";"C"
"5805";"Male";"Yes";35;"No";"Artist";9;"Low";3;"Cat_7";"A"
"5806";"Female";"No";31;"Yes";"Doctor";0;"Low";2;"Cat_4";"D"
"5807";"Female";"Yes";53;"No";"Engineer";0;"Average";4;"Cat_4";"B"
"5808";"Male";"No";36;"Yes";"Doctor";9;"Low";1;"Cat_6";"B"
"5809";"Male";"Yes";37;"Yes";"Entertainment";0;"Low";2;"Cat_4";"A"
"5810";"Male";"Yes";80;"Yes";"Lawyer";2;"Low";1;"Cat_6";"A"
"5811";"Male";"Yes";30;"Yes";"Doctor";8;"Average";2;"Cat_6";"A"
"5814";"Male";"No";32;"No";"Doctor";3;"Low";3;"Cat_7";"D"
"5815";"Male";"Yes";49;"Yes";"Marketing";0;"Low";5;"Cat_6";"D"
"5816";"Male";"Yes";67;"Yes";"Executive";0;"High";4;"Cat_6";"C"
"5817";"Male";"No";47;"No";"Entertainment";1;"Low";1;"Cat_6";"A"
"5818";"Male";"Yes";35;"No";"Engineer";1;"Low";6;"Cat_6";"A"
"5819";"Female";"Yes";26;"No";"Marketing";0;"Low";5;"Cat_4";"D"
"5820";"Female";"No";43;"Yes";"Artist";1;"Low";1;"Cat_3";"B"
"5822";"Male";"No";29;"Yes";"Doctor";0;"Low";2;"Cat_3";"A"
"5825";"Male";"No";41;"Yes";"Doctor";4;"Low";2;"Cat_6";"B"
"5826";"Male";"No";40;"Yes";"Artist";14;"Low";2;"Cat_2";"A"
"5829";"Male";"No";29;"No";"Healthcare";2;"Low";5;"Cat_6";"D"
"5830";"Female";"Yes";51;"No";"Engineer";7;"Average";5;"Cat_4";"B"
"5831";"Male";"No";32;"Yes";"Engineer";6;"Low";1;"Cat_6";"D"
"5832";"Female";"No";48;"Yes";"Artist";1;"Low";1;"Cat_2";"B"
"5833";"Male";"No";22;"No";"Artist";1;"Low";3;"Cat_6";"D"
"5834";"Female";"Yes";35;"Yes";"Entertainment";1;"Average";2;"Cat_6";"A"
"5835";"Female";"No";51;"Yes";"Artist";2;"Low";1;"Cat_6";"B"
"5836";"Female";"Yes";46;"No";"Engineer";8;"Low";1;"Cat_6";"A"
"5837";"Female";"No";27;"Yes";"Healthcare";1;"Low";5;"Cat_6";"C"
"5838";"Female";"Yes";56;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"5839";"Male";"Yes";50;"Yes";"Artist";4;"Average";4;"Cat_3";"B"
"5840";"Male";"Yes";59;"Yes";"Healthcare";0;"Low";3;"Cat_4";"D"
"5841";"Female";"Yes";61;"Yes";"Artist";0;"Low";1;"Cat_6";"C"
"5842";"Male";"No";32;"Yes";"Doctor";9;"Low";1;"Cat_6";"A"
"5843";"Female";"No";26;"Yes";"Healthcare";1;"Low";5;"Cat_4";"C"
"5846";"Male";"No";22;"No";"Marketing";0;"Low";4;"Cat_2";"C"
"5847";"Female";"No";29;"No";"Marketing";4;"Low";3;"Cat_6";"B"
"5848";"Male";"Yes";46;"Yes";"Artist";1;"Low";3;"Cat_6";"B"
"5851";"Female";"Yes";85;"Yes";"Lawyer";0;"Low";1;"Cat_3";"D"
"5853";"Male";"Yes";43;"Yes";"Artist";9;"High";2;"Cat_4";"B"
"5854";"Female";"No";18;"No";"Healthcare";0;"Low";4;"Cat_3";"D"
"5855";"Male";"Yes";87;"No";"Artist";1;"Low";1;"Cat_6";"A"
"5856";"Male";"Yes";40;"Yes";"Artist";1;"Average";2;"Cat_4";"C"
"5857";"Male";"Yes";25;"Yes";"Entertainment";1;"Low";2;"Cat_6";"A"
"5859";"Female";"Yes";48;"Yes";"Artist";1;"High";3;"Cat_6";"C"
"5860";"Female";"Yes";56;"Yes";"Entertainment";0;"Average";2;"Cat_6";"B"
"5861";"Female";"No";32;"No";"Entertainment";1;"Low";3;"Cat_6";"A"
"5862";"Female";"No";38;"Yes";"Artist";7;"Low";7;"Cat_2";"C"
"5863";"Female";"No";31;"No";"Doctor";1;"Low";2;"Cat_6";"A"
"5864";"Female";"Yes";36;"No";"Executive";9;"Average";5;"Cat_4";"A"
"5865";"Male";"No";37;"Yes";"Healthcare";0;"Low";2;"Cat_6";"D"
"5866";"Female";"Yes";40;"Yes";"Doctor";1;"Low";2;"Cat_6";"A"
"5867";"Male";"No";18;"No";"Healthcare";5;"Low";4;"Cat_4";"D"
"5868";"Female";"No";26;"No";"Healthcare";0;"Low";6;"Cat_5";"A"
"5870";"Male";"No";27;"Yes";"Healthcare";9;"Low";2;"Cat_6";"D"
"5871";"Female";"No";20;"No";"Healthcare";1;"Low";3;"Cat_6";"D"
"5872";"Male";"Yes";47;"No";"Artist";1;"Average";4;"Cat_6";"C"
"5873";"Male";"Yes";50;"No";"Entertainment";1;"Average";3;"Cat_6";"B"
"5875";"Female";"Yes";49;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"5876";"Male";"Yes";29;"Yes";"Healthcare";1;"Low";3;"Cat_3";"D"
"5877";"Male";"Yes";37;"Yes";"Executive";6;"High";3;"Cat_6";"D"
"5879";"Male";"Yes";59;"No";"Engineer";1;"Average";3;"Cat_6";"C"
"5880";"Male";"No";21;"No";"Marketing";0;"Low";5;"Cat_1";"D"
"5882";"Male";"No";29;"No";"Healthcare";0;"Low";6;"Cat_6";"B"
"5884";"Female";"No";38;"Yes";"Doctor";9;"Low";2;"Cat_6";"B"
"5885";"Male";"Yes";37;"Yes";"Artist";0;"Low";3;"Cat_6";"A"
"5886";"Male";"Yes";60;"Yes";"Entertainment";1;"Average";3;"Cat_6";"C"
"5887";"Male";"Yes";55;"Yes";"Doctor";0;"Low";1;"Cat_6";"C"
"5888";"Male";"Yes";50;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"5890";"Male";"No";47;"Yes";"Artist";9;"Low";2;"Cat_6";"B"
"5891";"Male";"Yes";52;"Yes";"Artist";6;"Average";2;"Cat_6";"B"
"5892";"Female";"Yes";42;"No";"Executive";0;"Average";5;"Cat_4";"A"
"5893";"Male";"No";32;"No";"Healthcare";0;"Low";3;"Cat_6";"D"
"5895";"Female";"No";25;"No";"Artist";1;"Low";1;"Cat_4";"B"
"5896";"Male";"Yes";68;"Yes";"Entertainment";1;"Average";2;"Cat_6";"C"
"5897";"Male";"Yes";36;"Yes";"Entertainment";4;"Average";2;"Cat_2";"B"
"5900";"Male";"Yes";62;"Yes";"Artist";0;"High";2;"Cat_6";"C"
"5901";"Male";"No";32;"Yes";"Doctor";4;"Low";5;"Cat_6";"D"
"5903";"Female";"Yes";48;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"5904";"Male";"Yes";70;"Yes";"Lawyer";8;"Average";2;"Cat_6";"C"
"5905";"Female";"Yes";60;"Yes";"Artist";0;"High";2;"Cat_6";"C"
"5906";"Male";"No";45;"No";"Artist";2;"Low";1;"Cat_6";"B"
"5907";"Female";"Yes";48;"Yes";"Homemaker";1;"Low";2;"Cat_3";"B"
"5908";"Male";"Yes";76;"Yes";"Lawyer";1;"Low";2;"Cat_3";"A"
"5909";"Male";"Yes";53;"Yes";"Engineer";4;"Low";3;"Cat_3";"B"
"5910";"Male";"Yes";83;"No";"Executive";1;"High";3;"Cat_6";"B"
"5911";"Female";"Yes";79;"Yes";"Lawyer";1;"High";2;"Cat_6";"B"
"5912";"Female";"Yes";49;"Yes";"Engineer";0;"Low";1;"Cat_2";"B"
"5913";"Female";"Yes";76;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"5914";"Male";"Yes";37;"No";"Engineer";12;"Average";5;"Cat_4";"B"
"5916";"Female";"Yes";35;"No";"Artist";0;"Low";2;"Cat_6";"B"
"5917";"Female";"Yes";31;"No";"Homemaker";12;"Average";2;"Cat_6";"B"
"5918";"Male";"No";21;"No";"Marketing";1;"Low";5;"Cat_6";"B"
"5919";"Male";"No";71;"Yes";"Entertainment";1;"Low";2;"Cat_6";"C"
"5920";"Female";"No";27;"No";"Engineer";1;"Low";4;"Cat_5";"A"
"5923";"Male";"Yes";43;"Yes";"Artist";2;"Average";4;"Cat_3";"C"
"5924";"Male";"Yes";46;"Yes";"Artist";0;"Low";2;"Cat_6";"B"
"5925";"Male";"Yes";88;"No";"Lawyer";1;"Low";1;"Cat_6";"A"
"5926";"Male";"No";29;"No";"Healthcare";1;"Low";6;"Cat_6";"D"
"5927";"Male";"No";27;"No";"Engineer";0;"Low";5;"Cat_6";"D"
"5929";"Female";"Yes";48;"No";"Artist";8;"Average";3;"Cat_6";"A"
"5930";"Male";"No";20;"No";"Healthcare";4;"Low";5;"Cat_2";"D"
"5931";"Male";"No";38;"Yes";"Entertainment";1;"Low";1;"Cat_7";"A"
"5933";"Female";"No";29;"No";"Homemaker";1;"Low";6;"Cat_6";"D"
"5934";"Female";"Yes";48;"Yes";"Doctor";1;"Average";4;"Cat_6";"C"
"5935";"Female";"No";65;"Yes";"Lawyer";0;"Low";1;"Cat_6";"A"
"5936";"Male";"Yes";51;"No";"Engineer";1;"Average";7;"Cat_4";"B"
"5937";"Female";"No";21;"No";"Healthcare";0;"Low";5;"Cat_6";"D"
"5938";"Female";"No";42;"Yes";"Artist";0;"Low";1;"Cat_6";"A"
"5939";"Male";"Yes";56;"No";"Marketing";1;"Average";3;"Cat_4";"B"
"5940";"Female";"Yes";86;"Yes";"Lawyer";9;"High";2;"Cat_6";"C"
"5941";"Male";"Yes";59;"Yes";"Artist";0;"Average";4;"Cat_6";"C"
"5942";"Male";"Yes";86;"Yes";"Executive";1;"High";2;"Cat_6";"C"
"5943";"Male";"Yes";59;"Yes";"Artist";4;"High";2;"Cat_7";"D"
"5944";"Male";"Yes";38;"Yes";"Doctor";3;"Average";2;"Cat_6";"C"
"5945";"Female";"No";31;"Yes";"Marketing";0;"Low";1;"Cat_6";"D"
"5946";"Female";"No";45;"Yes";"Artist";1;"Low";1;"Cat_6";"B"
"5947";"Female";"Yes";48;"Yes";"Artist";10;"Low";2;"Cat_6";"B"
"5948";"Female";"No";33;"No";"Engineer";9;"Low";4;"Cat_3";"B"
"5949";"Male";"Yes";38;"Yes";"Entertainment";9;"Average";3;"Cat_6";"B"
"5950";"Female";"Yes";49;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"5951";"Female";"Yes";48;"Yes";"Artist";8;"Average";2;"Cat_6";"A"
"5953";"Male";"No";28;"Yes";"Healthcare";7;"Low";4;"Cat_2";"C"
"5954";"Female";"Yes";33;"Yes";"Doctor";0;"Average";2;"Cat_6";"B"
"5955";"Male";"No";20;"No";"Healthcare";0;"Low";4;"Cat_6";"D"
"5956";"Male";"Yes";27;"No";"Entertainment";0;"Low";1;"Cat_4";"A"
"5957";"Male";"Yes";39;"Yes";"Artist";3;"Average";4;"Cat_6";"B"
"5958";"Female";"Yes";87;"No";"Lawyer";0;"Low";1;"Cat_6";"C"
"5959";"Male";"No";30;"Yes";"Healthcare";1;"Low";4;"Cat_6";"B"
"5961";"Female";"Yes";51;"Yes";"Artist";1;"High";5;"Cat_6";"C"
"5962";"Male";"Yes";46;"Yes";"Executive";1;"High";5;"Cat_6";"B"
"5963";"Female";"No";55;"No";"Entertainment";3;"Low";1;"Cat_6";"A"
"5964";"Male";"No";39;"No";"Entertainment";0;"Low";4;"Cat_6";"A"
"5965";"Male";"Yes";63;"Yes";"Artist";1;"Average";4;"Cat_6";"A"
"5966";"Male";"Yes";84;"Yes";"Lawyer";0;"High";2;"Cat_6";"C"
"5967";"Male";"Yes";41;"Yes";"Executive";7;"High";2;"Cat_6";"C"
"5969";"Male";"No";27;"Yes";"Healthcare";2;"Low";4;"Cat_1";"A"
"5970";"Male";"No";35;"Yes";"Doctor";3;"Low";1;"Cat_6";"A"
"5971";"Female";"Yes";47;"Yes";"Artist";6;"Low";2;"Cat_6";"B"
"5972";"Female";"No";51;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"5973";"Female";"Yes";32;"Yes";"Artist";8;"Low";3;"Cat_6";"B"
"5974";"Male";"Yes";31;"Yes";"Engineer";1;"Low";2;"Cat_6";"D"
"5975";"Female";"No";38;"Yes";"Healthcare";0;"Low";4;"Cat_6";"A"
"5976";"Male";"No";20;"No";"Healthcare";1;"Low";3;"Cat_3";"D"
"5977";"Male";"No";31;"Yes";"Doctor";8;"Low";6;"Cat_2";"A"
"5978";"Male";"Yes";55;"Yes";"Entertainment";1;"Low";2;"Cat_6";"A"
"5980";"Male";"No";83;"Yes";"Lawyer";0;"Low";1;"Cat_6";"D"
"5981";"Male";"Yes";41;"Yes";"Doctor";0;"Low";2;"Cat_6";"B"
"5982";"Female";"Yes";38;"Yes";"Artist";1;"Average";2;"Cat_4";"C"
"5983";"Male";"Yes";61;"Yes";"Executive";5;"High";2;"Cat_6";"B"
"5984";"Female";"Yes";48;"Yes";"Homemaker";12;"Low";1;"Cat_6";"A"
"5985";"Male";"Yes";40;"Yes";"Doctor";1;"Average";2;"Cat_6";"B"
"5986";"Female";"No";47;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"5987";"Male";"Yes";53;"Yes";"Executive";4;"High";4;"Cat_6";"D"
"5989";"Male";"Yes";72;"No";"Artist";1;"Low";1;"Cat_6";"B"
"5990";"Female";"Yes";50;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"5991";"Male";"Yes";63;"Yes";"Entertainment";0;"Low";1;"Cat_6";"A"
"5992";"Male";"Yes";42;"Yes";"Artist";5;"Average";2;"Cat_6";"C"
"5993";"Male";"Yes";40;"No";"Entertainment";14;"Average";3;"Cat_6";"D"
"5994";"Female";"Yes";63;"Yes";"Artist";1;"Average";5;"Cat_3";"C"
"5995";"Male";"No";25;"Yes";"Artist";13;"Low";3;"Cat_6";"A"
"5996";"Male";"Yes";49;"Yes";"Executive";2;"High";4;"Cat_2";"B"
"5997";"Female";"No";28;"No";"Healthcare";0;"Low";6;"Cat_5";"A"
"5998";"Female";"Yes";69;"Yes";"Artist";0;"High";2;"Cat_6";"C"
"5999";"Male";"No";31;"No";"Healthcare";0;"Low";5;"Cat_4";"C"
"6000";"Female";"Yes";36;"Yes";"Artist";1;"Average";5;"Cat_6";"C"
"6001";"Male";"No";21;"No";"Healthcare";9;"Low";4;"Cat_3";"D"
"6002";"Female";"Yes";36;"Yes";"Artist";1;"Average";2;"Cat_6";"C"
"6003";"Female";"No";41;"Yes";"Healthcare";12;"Low";1;"Cat_1";"A"
"6004";"Female";"No";31;"Yes";"Artist";13;"Low";2;"Cat_6";"B"
"6005";"Male";"Yes";51;"Yes";"Executive";7;"High";4;"Cat_6";"C"
"6006";"Male";"Yes";55;"Yes";"Artist";1;"Low";3;"Cat_3";"A"
"6008";"Female";"Yes";61;"No";"Engineer";1;"Average";2;"Cat_6";"C"
"6009";"Male";"No";31;"Yes";"Artist";1;"Low";3;"Cat_6";"D"
"6010";"Female";"Yes";55;"Yes";"Artist";1;"High";4;"Cat_6";"B"
"6011";"Female";"No";33;"Yes";"Artist";0;"Low";5;"Cat_3";"C"
"6012";"Female";"Yes";50;"Yes";"Artist";1;"Average";5;"Cat_2";"C"
"6013";"Male";"Yes";71;"No";"Entertainment";1;"Low";2;"Cat_6";"A"
"6015";"Female";"Yes";73;"Yes";"Lawyer";1;"High";2;"Cat_6";"C"
"6016";"Female";"Yes";58;"No";"Lawyer";0;"High";4;"Cat_6";"C"
"6017";"Male";"Yes";65;"Yes";"Artist";5;"High";2;"Cat_6";"A"
"6018";"Female";"Yes";75;"Yes";"Artist";1;"High";2;"Cat_6";"C"
"6019";"Female";"No";62;"Yes";"Engineer";0;"Low";1;"Cat_6";"B"
"6020";"Female";"No";38;"Yes";"Healthcare";0;"Low";5;"Cat_6";"D"
"6021";"Female";"No";27;"Yes";"Homemaker";3;"Low";7;"Cat_6";"D"
"6022";"Male";"No";19;"No";"Healthcare";0;"Low";3;"Cat_2";"D"
"6024";"Female";"Yes";50;"Yes";"Artist";0;"High";2;"Cat_3";"C"
"6025";"Male";"No";27;"Yes";"Entertainment";9;"Low";1;"Cat_6";"A"
"6026";"Male";"No";33;"No";"Healthcare";9;"Low";3;"Cat_7";"C"
"6027";"Female";"Yes";26;"No";"Doctor";0;"Average";3;"Cat_4";"D"
